Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.53     0.00        2     0.00     0.00  isExpectedLabel
  0.00      6.53     0.00        2     0.00     0.00  newVariableNode
  0.00      6.53     0.00        2     0.00     0.00  statement
  0.00      6.53     0.00        2     0.00     0.00  string
  0.00      6.53     0.00        2     0.00     0.00  variable
  0.00      6.53     0.00        1     0.00     0.00  binary
  0.00      6.53     0.00        1     0.00     0.01  bootstrapCore
  0.00      6.53     0.00        1     0.00     0.00  compile
  0.00      6.53     0.00        1     0.00     0.00  consumeHint
  0.00      6.53     0.00        1     0.00     0.00  emitLoop
  0.00      6.53     0.00        1     0.00     0.00  emitReturn
  0.00      6.53     0.00        1     0.00     0.00  endCompiler
  0.00      6.53     0.00        1     0.00     0.00  endLoop
  0.00      6.53     0.00        1     0.00     0.00  expressionStatement
  0.00      6.53     0.00        1     0.00     0.00  forStatement
  0.00      6.53     0.00        1     0.00     0.00  freeChunk
  0.00      6.53     0.00        1     0.00     0.00  freeNode
  0.00      6.53     0.00        1     0.00     0.02  freeObjects
  0.00      6.53     0.00        1     0.00     0.00  freeSignatureTable
  0.00      6.53     0.00        1     0.00     0.02  freeVM
  0.00      6.53     0.00        1     0.00     0.00  freeValueArray
  0.00      6.53     0.00        1     0.00     0.00  generateCode
  0.00      6.53     0.00        1     0.00     0.00  initCompiler
  0.00      6.53     0.00        1     0.00     0.00  initErrorEngine
  0.00      6.53     0.00        1     0.00     0.00  initScanner
  0.00      6.53     0.00        1     0.00     0.00  initSignatureTable
  0.00      6.53     0.00        1     0.00     0.01  initVM
  0.00      6.53     0.00        1     0.00     0.00  interpolation
  0.00      6.53     0.00        1     0.00     6.51  interpret
  0.00      6.53     0.00        1     0.00     0.00  isComparison
  0.00      6.53     0.00        1     0.00     0.00  newBlockNode
  0.00      6.53     0.00        1     0.00     0.00  newChainNode
  0.00      6.53     0.00        1     0.00     0.00  newForNode
  0.00      6.53     0.00        1     0.00     0.00  newFunction
  0.00      6.53     0.00        1     0.00     0.00  newIfNode
  0.00      6.53     0.00        1     0.00     0.00  newInterpolationNode
  0.00      6.53     0.00        1     0.00     0.00  newModule
  0.00      6.53     0.00        1     0.00     0.00  newRange
  0.00      6.53     0.00        1     0.00     0.00  newRangeNode
  0.00      6.53     0.00        1     0.00     0.00  newSingleExprNode
  0.00      6.53     0.00        1     0.00     0.00  parseSource
  0.00      6.53     0.00        1     0.00     0.00  range
  0.00      6.53     0.00        1     0.00     0.00  readFile
  0.00      6.53     0.00        1     0.00     0.00  registerCoreLibrary
  0.00      6.53     0.00        1     0.00     0.00  registerIOLibrary
  0.00      6.53     0.00        1     0.00     0.00  registerListLibrary
  0.00      6.53     0.00        1     0.00     0.00  registerMathLibrary
  0.00      6.53     0.00        1     0.00     0.00  registerStringLibrary
  0.00      6.53     0.00        1     0.00     0.00  resetParserState
  0.00      6.53     0.00        1     0.00     0.00  resetStack
  0.00      6.53     0.00        1     0.00     6.51  runFile
  0.00      6.53     0.00        1     0.00     0.00  startLoop
  0.00      6.53     0.00        1     0.00     0.00  syntheticToken
  0.00      6.53     0.00        1     0.00     0.00  walkNode

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
